key,en,ja
language.english,English,英語
language.japanese,Japanese,日本語
language.toggle,Language,言語
ui.main_menu,Main Menu,メインメニュー
ui.mode_select,Mode Select,モード選択
ui.codex,Codex,図鑑
ui.vs_ai_racers,VS AI Racers,AIレーサーと対戦
ui.local_2_player,Local 2 Player,ローカル2人対戦
ui.online_2_player,Online 2 Player,オンライン2人対戦
ui.subtitle,Tactical Drift Card Battles,戦略型ドリフトカードバトル
ui.loading_csv_data,Loading CSV data...,CSVデータを読み込み中...
ui.cards_status,Driving Cards: {cards} / Corner Cards: {corners},ドライビングカード: {cards} / コーナーカード: {corners}
ui.live,Live,ライブ
ui.fallback,Fallback,内蔵
ui.run_live_csv,Run start_arcade_racing.cmd for live CSV,ライブCSVを使うには start_arcade_racing.cmd を実行
ui.matchmaking,Matchmaking,マッチメイキング
ui.room_matchmaking,Room Matchmaking,ルームマッチメイキング
ui.choose_role,Choose Role,役割を選択
ui.host,Host,ホスト
ui.guest,Guest,ゲスト
ui.create_room,Create Room,ルーム作成
ui.join_room,Join Room,ルーム参加
ui.host_room_help,Generate a room key, wait for the guest to connect, then start once their ready light is on.,ルームキーを生成し、ゲストの接続と準備完了を待ってから開始します。
ui.join_room_help,Enter the host room key. Once connected, mark ready and wait for the host to launch setup.,ホストのルームキーを入力し、接続後に準備完了を送って開始を待ちます。
ui.host_a_room,Host A Room,ルームを作成
ui.room_key,Room Key,ルームキー
ui.connected,Connected,接続済み
ui.waiting,Waiting,待機中
ui.ready,Ready,準備
ui.locked_in,Locked In,ロック済み
ui.not_yet,Not Yet,未完了
ui.start_setup,Start Setup,セットアップ開始
ui.join_as_guest,Join As Guest,ゲストとして参加
ui.found,Found,検出
ui.searching,Searching,検索中
ui.sent,Sent,送信済み
ui.open,Open,未送信
ui.mark_ready,Mark Ready,準備完了
ui.back_to_title,Back to Title,タイトルへ戻る
ui.race_setup,Race Setup,レースセットアップ
ui.course_machine_select,Course & Machine Select,コース＆マシン選択
ui.player_course_pick,Player 1 Course Pick,プレイヤー1 コース選択
ui.tutorial,Tutorial,チュートリアル
ui.tutorial_on,Tutorial On,チュートリアル オン
ui.tutorial_off,Tutorial Off,チュートリアル オフ
ui.choose_machine,Choose Machine,マシンを選択
ui.waiting_ellipsis,Waiting...,待機中...
